CodigoPrestador,NombrePrestador,TipoIdentificacion,NumeroIdentificacion,NaturalezaJuridica,ESE,DepartamentoPrestador,MunicipioPrestador,DireccionPrestador,EmailPrestador,TelefonoPrestador,FechaCorte,municipios_count,sedes_count,id_entidad,razon_social,codigo_postal,pagina_web,ambito_SIIF
1100112713,ENDOCARE SAS,NI,830128615,Privada,NO,Bogotá D.C,11001,"CL 106 # 54-60 CONSULTORIO 1, 2, 3, 4, 5, 7, 8, 9, 10",endocaree@gmail.com,6132411 - 3182870677,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100112756,ENDOTHERAPEUTICS SAS,NI,830115566,Privada,NO,Bogotá D.C,11001,KR 13 # 49  40 CS 525,gerencia@venolaser.com,3383864,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100112762,SERVISALUD OCUPACIONAL IPS SAS,NI,830136321,Privada,NO,Bogotá D.C,11001,CL 27 SUR # 14 43,servisaluddelolaya@gmail.com,3006168831,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100112797,CLINICA SEQUOIA SAS,NI,830130028,Privada,NO,Bogotá D.C,11001,CL 123 # 7 07 OF 206,info@clinicasequoia.com,6194841-6194852,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100112808,FISIOSPORT LTDA,NI,830136757,Privada,NO,Bogotá D.C,11001,CALLE 50 # 8 24 OF 505,sandpinz@hotmail.com,3101279,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100112839,OSISDENT SAS,NI,830120303,Privada,NO,Bogotá D.C,11001,KR 14 # 92 77,OSISDENT@HOTMAIL.COM,6012576200,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100112848,LABORATORIO MEDICO ECHAVARRIA S.A.S,NI,890906793,Privada,NO,Bogotá D.C,11001,CR 44 # 20 A 05,gescalidad@labechavarria.com,(1)2444888,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100113009,CENTRO DE REHABILITACION Y ESTÉTICA ORAL SAS - SIGLA CREO SAS,NI,830136033,Privada,NO,Bogotá D.C,11001,CALLE 57 Nº 21 - 26,CREOCLINICA@HOTMAIL.COM,(57)(1)2493888,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100113132,SMILE QUALITY CLINICA ODONTOLOGICA ESPECIALIZADA S.A.S,NI,830135332,Privada,NO,Bogotá D.C,11001,cl 123 # 7a 17 cs 201,smilequality@outlook.com,51-091-6297109,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100113406,ENLACE LAB S.A.S,NI,830145128,Privada,NO,Bogotá D.C,11001,Cl 120A 7 48,administrativo@enlacelabcolombia.com,2136192-3152820115,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100113483,INTEGRAL SALUD LTDA,NI,830031646,Privada,NO,Bogotá D.C,11001,CL 109 # 17 A 35 CS 401,integralsaludltda@gmail.com,6021070,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100113508,MEDICINA LABORAL S.A.S,NI,830142721,Privada,NO,Bogotá D.C,11001,CALLE 27 # 27-21 - Barrio:TEUSAQUILLO,gerencia@medilaboral.com,7446346 3232753421,Fecha corte REPS: Jul 4 2023 1:19PM,1,4,,,,,
1100113651,UNIDAD MEDICA TOLCOROMA EU,NI,830139247,Privada,NO,Bogotá D.C,11001,KR 7 B # 123 - 58,claralube@yahoo.com,2135984,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100113937,BODY HEALTH AND BEAUTY GYM BHB LTDA,NI,830092823,Privada,NO,Bogotá D.C,11001,AV BOYACA # 8 B - 05,bhbgym@gmail.com,4125131,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114073,S.O.S SALUD S.A.S,NI,900007635,Privada,NO,Bogotá D.C,11001,Cra 68G N° 75-71,gerencia@sossalud.com.co,601 8000519 - 6014909696,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114074,CENTRO DE ENFERMEDADES NEOPLASICAS S A S,NI,830146850,Privada,NO,Bogotá D.C,11001,KR 22 #45 B -38 CS 101,centroenf.neoplasicas@hotmail.com,6183489/2960513,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114150,CENTRO DE CONTROL DE CÁNCER SAS,NI,830008300,Privada,NO,Bogotá D.C,11001,KR 16 A #  84 - 19,administracion@centrodecontroldecancer.com,2366927,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100114343,INMUNOTECH LABORATORIES S.A.S.,NI,830141394,Privada,NO,Bogotá D.C,11001,CRA 9 No 48-40 PISO 5,gerencia@inmunotechlab.com,3143997827,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114369,DENTAL ASSISTANCE SAS,NI,830143831,Privada,NO,Bogotá D.C,11001,CARRERA 19 NO 120-71 OF 202,carlos.grisales@dentalassistance.com.co,5205251,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114461,UNIDAD DE VIDEOENDOSCOPIA DEL RESTREPO LTDA,NI,900022390,Privada,NO,Bogotá D.C,11001,TRANSV. 18 BIS # 14A-21SUR  PISO2,camiloblancoa@gmail.com,2399289,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114619,JUAN CARLOS ARBELAEZ ECHEVERRY SAS,NI,900028915,Privada,NO,Bogotá D.C,11001,KR 16 A #  82 46 CS 505,arbelaezmarino@hotmail.com,2960533,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114648,CORPORACION PARA LA ATENCION Y EL DIAGNOSTICO DE ENFERMEDADES-MILAGROZ,NI,900013939,Privada,NO,Bogotá D.C,11001,CL 39 # 19 39 PI 1,bogota@corporacionmilagroz.com,3222061,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114836,CERTIFICAR SALUD S.A.S.,NI,830109370,Privada,NO,Bogotá D.C,11001,Calle 125 # 19-89 oficina 404,certificarsalud@gmail.com,3203999288- 6017326309,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100114862,UNIDAD DE FERTILIDAD FERTIVIDA SAS,NI,900032582,Privada,NO,Bogotá D.C,11001,KR 19A No. 82-85 CONSULTORIO 401,administracion@fertivida.co,7953130 EXT 4017,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115024,CENTRO ELECTRO AUDITIVO NACIONAL AL SERVICIO DE LA REHABILITACION SAS,NI,890316171,Privada,NO,Bogotá D.C,11001,CR 7 N° 41 - 21 AP 202,clinicaauditivaescucha@ipsceansas.com,3400133,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115051,FUNDACION CEDHI - CENTRO DE DESARROLLO HUMANO INTEGRAL,NI,900032841,Privada,NO,Bogotá D.C,11001,CALLE 97 # 64 - 19,fundacioncedhi@gmail.com,6955994 - 3124522705,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115070,UNIVER PLUS S.A.,NI,900033752,Privada,NO,Bogotá D.C,11001,Cra 7 B BIS  # 132-38 Edificio Forest Medical Center  Local 104 - Barrio:Bella Suiza,coordinadornacionalcalidad@univerplus.com,3164195115 - 3138306090,Fecha corte REPS: Jul 4 2023 1:19PM,1,14,,,,,
1100115099,MESSER COLOMBIA S.A.,NI,860005114,Privada,NO,Bogotá D.C,11001,AK 14 No. 40A-04,yury.catalina.avila@messer-co.com,4254550- 3123511070- 3142314793,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100115235,ODONTOLOGIA ESPECIALIZADA COLOMBIANA CLINICAS DENTALES S.A.,NI,900020963,Privada,NO,Bogotá D.C,11001,CL 108 14B 24,marcelacubillosr@yahoo.es,57 091 2154848,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100115272,UNIDAD MEDICA RIONEGRO LTDA,NI,900050484,Privada,NO,Bogotá D.C,11001,CL 76 # 20 C - 42 PISO 1,unirionegro@gmail.com,8050082,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115308,CLINICA ODONTOLOGICA CLINISTETIC LTDA,NI,830137350,Privada,NO,Bogotá D.C,11001,CALLE 58 No 17-09,clinistetic1@hotmail.com,3478514,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
1100115365,INNOVAR SALUD SAS,NI,830095842,Privada,NO,Bogotá D.C,11001,CARRERA 49 D No. 91-56,notificaciones@innovarsalud.com,6017957171,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115375,VITAL LIFE SAS,NI,900065988,Privada,NO,Bogotá D.C,11001,CALLE 102 A NO. 70G-19 Y 70G-21,calidad@vitallifesas.com.co,2719676 - 7579602-7429502 -2269505 - 2269506,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115658,GENETICA HUMANA E.U.,NI,900074059,Privada,NO,Bogotá D.C,11001,Avenida Calle 116 # 9-72  consultorio 605,genetica.humana@gmail.com,2141275,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115683,BLUE LASER MEDICINA INTEGRAL S.A,NI,900073623,Privada,NO,Bogotá D.C,11001,Calle 52 #71D - 37 Local 2,di-blue@hotmail.com,2951570 - 3144425643,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115707,DENTOLASER S.A.S.,NI,830140988,Privada,NO,Bogotá D.C,11001,KR 21 # 56 03,auditorinternodentolaser@gmail.com,3126688,Fecha corte REPS: Jul 4 2023 1:19PM,1,6,,,,,
1100115731,CLINICA FERNANDO VANEGAS CANO LTDA.,NI,900076452,Privada,NO,Bogotá D.C,11001,KR 16 No. 96 - 64 CS 314,vanegas_cano@yahoo.com,6369541,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115879,ODONTOLOGOS COLOMBIANOS ESPECIALIZADOSLTDA,NI,900070486,Privada,NO,Bogotá D.C,11001,CARRERA 58 No 137B-38 piso 3,ocecolina@yahoo.es,2 71 62 26,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115904,CENTRO DE SALUD CIRUGIA ESTETICA AMBULATORIA CLINICA DE CHARRY LTDA,NI,900006808,Privada,NO,Bogotá D.C,11001,KR 48 #  122 - 28,naso_val@hotmail.com,2138331,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115930,ESPLENDENT S A S SIGLA ESPLENDENT,NI,830098835,Privada,NO,Bogotá D.C,11001,KR 59 A# 136 95 LC 203,juansgc@hotmail.com,2538582,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100115941,B S P CORPOLASER LTDA,NI,830146310,Privada,NO,Bogotá D.C,11001,KR 13 A No 102 86,corpolaser98@hotmail.com,6122605,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116044,AUDIOCOM SAS,NI,814003448,Privada,NO,Bogotá D.C,11001,Carrera 19 C 90-59,servicio@audiocom.com.co,(1) 742 09 04 - 3174374863,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
1100116069,Centro de Dermatologia y Cirugia Dermatologica del Country CDCD LTDA,NI,900096797,Privada,NO,Bogotá D.C,11001,Calle 83 # 19 - 36 Cons 705,gerencia.cdcd@gmail.com,071/7038176,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116076,HORIZONTES ABA TERAPIA INTEGRAL LTDA,NI,900053354,Privada,NO,Bogotá D.C,11001,Transversal 28 B No 37 20,administracion@horizontesaba.com,2222385 - 3103105333,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116107,SOCIEDAD ONCOLOGICA ONCOCARE LTDA. SIGLA ONCOCARE LTDA,NI,900078685,Privada,NO,Bogotá D.C,11001,AV KR 20 # 80 91,oncocareltda@hotmail.com,3207750,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116129,ELECTROFISIATRIA SAS,NI,900103925,Privada,NO,Bogotá D.C,11001,CL 112 # 70 B 28,calidad@electrofisiatria.com,7441886 -3164817832 -3209714392,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116133,FUNDACION HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,NI,900098476,Privada,NO,Bogotá D.C,11001,KR. 52 # 67 A 71,laimalucia@yahoo.com,2310019,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116145,MEDICLINICO SANTA ANA IPS SAS,NI,900102024,Privada,NO,Bogotá D.C,11001,Calle 102 # 70 B 69,mediclinicosantaanaips@gmail.com,(601)7575143 - 3204789192,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116237,OPTICA COLSANITAS SAS,NI,800185773,Privada,NO,Bogotá D.C,11001,AC 127 NO. 21 - 60 LC 112,oflechas@keralty.com,6159432-3153059897,Fecha corte REPS: Jul 4 2023 1:19PM,1,12,,,,,
1100116239,CENTRO VASCULAR DEL LAGO LTDA,NI,830047504,Privada,NO,Bogotá D.C,11001,AC 116 # 9 - 72 CONSULTORIO 608,vasculago@hotmail.com,57 1 2153382,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116245,CENTRO OFTALMOLOGICO GUSTAVO TAMAYO FERNANDEZ SA,NI,900112451,Privada,NO,Bogotá D.C,11001,CL 113 # 7 - 45 OF 906 TO B,consultoriogustavotamayo@gmail.com,6292882,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116253,ASMEDAN S.A.S ASOCIACION DE MEDICOS Y ANESTESIOLOGOS,NI,830098775,Privada,NO,Bogotá D.C,11001,AV 1 MAYO # 34- 41 - Barrio:SAN JORGE,rp.valle@grupoasmedan.com,3155997385,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100116275,CIRU COUNTRY SERVICIOS MEDICOS SAS,NI,800222501,Privada,NO,Bogotá D.C,11001,KR 10 No. 96 - 25  CS 403,aestheticmedical1@gmail.com,6160557,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116366,CENTRO INTEGRAL TERAPEUTICO DE MANO CITMA SAS,NI,900113999,Privada,NO,Bogotá D.C,11001,KR 20 # 45 A 08 CS 202 - 203 - 204,monicayad@gmail.com,3400230,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100116430,GNQ MEDICINA ANTIENVEJECIMIENTO S A S SIGLA GNQ,NI,900024984,Privada,NO,Bogotá D.C,11001,CL 102 # 14 A 15 PISO 3,gerencia@gnqsas.com,7422244,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116439,CENTRO CIENTIFICO INTERNACIONAL DE MEDICINA BIOLOGICA SAS,NI,830079801,Privada,NO,Bogotá D.C,11001,KR 24 # 45 A 33,centrobiologico@yahoo.com,2878211,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116443,CLINICAS ODONTOLOGICAS COODONTOLOGOS S.A.S,NI,830118704,Privada,NO,Bogotá D.C,11001,AUTOP N # 103 25,coordinacionsalud@cmps.com.co,2368470,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116450,TPF CIRUJANOS Y CIA LTDA- NUEVA CLINICA LOS CEDROS,NI,900090619,Privada,NO,Bogotá D.C,11001,CL 137 # 19 42 PISO 1,gerencia@clinicaloscedros.com,7433956,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116458,ARTUNATHIE SAS,NI,830145567,Privada,NO,Bogotá D.C,11001,AC 68 # 57 82 PI 2,clinicaronaldvargas@gmail.com,6302466,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116567,UMAF LIMITADA,NI,830064212,Privada,NO,Bogotá D.C,11001,CARRERA 47 No 105 - 38,umaf_ltda@yahoo.com,5252426,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116572,DERMOSALUD S.A.S,NI,900090377,Privada,NO,Bogotá D.C,11001,"calle 127 bis no 19-25 cons 404,405,406 y 407",gerencia@dermosaludcolombia.com,6145634-3208639403,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100116660,ARCANGELES FUNDACION PARA LA REHABILITACION INTEGRAL,NI,900109866,Privada,NO,Bogotá D.C,11001,CL # 106 17A  43,jishelmanrique@arcangeles.org,6 29 70 47 Ext 115-116,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116754,CENTRO DE RECONOCIMIENTO DE CONDUCTORES ATENTO IPS LTDA,NI,900096095,Privada,NO,Bogotá D.C,11001,TV 60 # 124 - 20 LC 6  9 y 10,ipsatento@yahoo.es,6176139,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116765,LANDMARK RADIOLOGIA DENTOFACIAL LTDA.,NI,900089131,Privada,NO,Bogotá D.C,11001,CL 53 B Nº 24 - 80 CS 714 - 713 - 707,landmarkradiologia@yahoo.com,3460568/98,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116864,SERVIVIR SERVICIOS MEDICOS INTEGRALES,NI,830080224,Privada,NO,Bogotá D.C,11001,CARREA 71C No 3a-26,servivir@gmail.com,4140640,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100116938,HOSPITAL MILITAR CENTRAL,NI,830040256,Pública,NO,Bogotá D.C,11001,TV 3c No 49-02,ayudantia@homil.gov.co,"3486868- ext3001-3002, cel 3158653821",Fecha corte REPS: Jul 4 2023 1:19PM,1,1,70300000,Hospital Militar Central,110231,http://www.hospitalmilitar.gov.co,No
1100116971,"PREVENCIÓN, ATENCIÓN E INVESTIGACIÓN EN SALUD LTDA, PAIS",NI,900085600,Privada,NO,Bogotá D.C,11001,CRA 16 N° 84A-09 CS 505,vacunartePAIS@gmail.com,6217254,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117001,CENTRO PENSAR LIMITADA,NI,830077128,Privada,NO,Bogotá D.C,11001,CL 142 # 18 A - 07,info@centropensar.com,2581810,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117087,ORALMEDIC CLINICAS ODONTOMEDICAS SAS,NI,900130447,Privada,NO,Bogotá D.C,11001,CALLE 22 SUR No. 26-30 PISO 2,gerencia@oralmedic.com.co,2726484,Fecha corte REPS: Jul 4 2023 1:19PM,1,4,,,,,
1100117125,OPTICAS ÉXITO Y CIA LTDA.,NI,830096452,Privada,NO,Bogotá D.C,11001,KR 9 Nº 15 - 52,opticas_exitojp@outlook.com,2433391,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117170,IPS CONSULTORIO DE TERAPIAS PRIMERA DE MAYO LTDA,NI,900135378,Privada,NO,Bogotá D.C,11001,CL 4 SUR No. 71 D- 49,terapiasprimerademayo@hotmail.com,260 23 41 / 262 36 08,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117197,AMBULANCIAS PRIMEROS AUXILIOS LTDA,NI,900036920,Privada,NO,Bogotá D.C,11001,KR 32 B # 2 43,operaciones@apa.net.co,2770977,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117234,ODONTOLOGICOS TORRES MANCILLA LTDA-ORTOCID LTDA,NI,900134907,Privada,NO,Bogotá D.C,11001,Carrera 73 # 5C 27 Piso 1 Entrada Plazoleta,ortocidltda@gmail.com,2640515,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117238,BIOMOLECULAR DIAGNOSTICA S.A.S.,NI,900110259,Privada,NO,Bogotá D.C,11001,"CRA 19A NO. 85-11 Piso 1 Of 102 Piso 2 Interior 2, Piso 3, Piso 4 Of 403, 404 Y 405",gerencia@bio-molecular.com,"3002664, 3002915",Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117250,UNIDAD LASER Y PIEL S.A.S,NI,900096842,Privada,NO,Bogotá D.C,11001,CL 134 # 7 B 83 Cs 412-  413- 414- 415- 416-417,ulaserypiel2017@hotmail.com,6143928,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117255,CIFEL CENTRO DE INVESTIGACION EN FISIATRIA Y ELECTRODIAGNOSTICO S.A.S. Sigla: CIFEL S.A.S,NI,900129308,Privada,NO,Bogotá D.C,11001,AC 26 69 C 03 TO B OF 601,claudia.valencia@cifel.co,7447107 - 3175759331,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117261,LACORSALUD SAS,NI,900128332,Privada,NO,Bogotá D.C,11001,CALLE 75 No.22-66,uapheroes@gmail.com,4873232-2482052,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117277,SPORTSMED COLOMBIA S.A.S,NI,830117846,Privada,NO,Bogotá D.C,11001,KR 16A 82 16,fpastrana@medsport.com.co,6348617,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117294,SALUD OCUPACIONAL SANITAS SAS,NI,830015429,Privada,NO,Bogotá D.C,11001,Tv 60  115  58 Torre B piso 3,sfiguero@colsanitas.com,6466060 ext 5710311 -3173822322,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117354,ATRYS COLOMBIA S.A.S.,NI,900120195,Privada,NO,Bogotá D.C,11001,Av Calle 116 # 9-72 Consultorio 410,sistemadecalidad-co@atryshealth.com,7444187 / 5806969,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117377,ASISFARMA S.A.S,NI,900149596,Privada,NO,Bogotá D.C,11001,KR 13 48-26 CONSULTORIO 104 - 204,direccionasistencial@asisfarma.com.co,2182002,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117393,OPTICAS VARGAS SAS,NI,900152323,Privada,NO,Bogotá D.C,11001,CL 19 # 8- 95,opticaitaliana895@hotmail.com,2849084 - 2436759,Fecha corte REPS: Jul 4 2023 1:19PM,1,8,,,,,
1100117432,SERVICIOS MEDICOS INTEGRALES SANTA ELENA SAS,NI,900157744,Privada,NO,Bogotá D.C,11001,CALLE 27 SUR No 19-19,menricardo19@hotmail.com,4087000-6264247-3183832985-3115117029,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117439,GRUPO OCUPACIONAL LTDA,NI,900139947,Privada,NO,Bogotá D.C,11001,CARRERA 27 A # 52-48,grupoocupacional@gmail.com,7551842 7551843,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117475,IMAGEN Y RADIOLOGIA ORAL SAS SIGLA IRO SAS,NI,900108627,Privada,NO,Bogotá D.C,11001,CL 4  # 56- 04 PI 2,irodigital@gmail.com,3049620-3107773218,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117476,ODONTO IMAGEN Clínica Odontológica Integral Ltda,NI,900138545,Privada,NO,Bogotá D.C,11001,CARRERA 77 A #64f-63,odontoclinicaintegral@hotmail.com,4887717-3162349066-3138503232,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117479,CLINICA COLOMBIANA DE PROTESIS DENTALES EU,NI,900092226,Privada,NO,Bogotá D.C,11001,AK 58 No 127-34,clinica.colombianadeprotesisdentales@hotmail.com,2533159 -5223457,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117536,IPS ACCION SALUD S.A.S.,NI,900162712,Privada,NO,Bogotá D.C,11001,cra 19A No. 84-73,gerenciaips@accionsas.com,3133918138,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117560,IPS MUNDO SALUD MEDICAL GROUP LTDA,NI,900160179,Privada,NO,Bogotá D.C,11001,Cl 27 Sur # 19 - 02 P1,coordinacion@vacunacionmundosalud.com,6967246,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117563,RADA CASSAB MEDICINA ESTETICA S.A.S.,NI,830509599,Privada,NO,Bogotá D.C,11001,CL 79 B # 8 10 PI 2 Y 5,atencionusuarios@radacassab.com,6202081,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117566,"CENTRO DE ATENCION INTEGRAL DE HERIDAS CRÓNICAS COMPLEJAS S.A. ""CAIHCRON""",NI,900160082,Privada,NO,Bogotá D.C,11001,AK 45 No. 103-19,caihcron@gmail.com,2364461- 6164344,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117629,ABC BEBE ECOGRAFIAS MEDICAS LTDA,NI,900169604,Privada,NO,Bogotá D.C,11001,CRA 11 nº 96-43 CONSULTORIO 103,ricardopatricia@hotmail.com,2575624,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117648,SERVICIOS INTEGRADOS DE SALUD OCUPACIONAL SIS CONSULTORIAS LTDA,NI,900151015,Privada,NO,Bogotá D.C,11001,CALLE 67# 10 A- 40 PISO 3 OFC 301 302 303 304 305 306 307 308 309,siscentromedico@yahoo.com,2363787,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117658,GRUPO DE INVERSIONES EMPRESARIALES SAS GIEM SAS,NI,900127106,Privada,NO,Bogotá D.C,11001,AC 26 N° 68 C 61 - LCO 107,calidadyfranquicias@marlonbecerra.co,7461111 - 3107862504 - 4273466 - 3204880062 - 3107865147,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117694,INVERSIONES B CEBALLOS A E U,NI,900162693,Privada,NO,Bogotá D.C,11001,CL 128 B No. 58 B 13,gerenciavillas@clinicaelitedental.com.co,2533319,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117704,CENTRO MEDICO ECOMEDICA E.U.,NI,900171802,Privada,NO,Bogotá D.C,11001,CALLE 34 No 14-33,CBAHAMON@HOTMAIL.COM,3202045,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117708,GRUPO EMPRESARIAL P&P S.A.S.,NI,900170425,Privada,NO,Bogotá D.C,11001,AC 26 # 69 D 91 OF 601 TO AVENIDA EL DORADO,yelopu24@hotmail.com,4931000,Fecha corte REPS: Jul 4 2023 1:19PM,1,24,,,,,
1100117713,ORIENTA FAMILIAR IPS EU,NI,900148275,Privada,NO,Bogotá D.C,11001,AK 14 # 33 A 55,orientafamiliaripseu@hotmail.com,2871234,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117715,ACYS Apoyo Terapéutico Integral E.U.,NI,900170659,Privada,NO,Bogotá D.C,11001,Calle 45 B No 24-39,amarcreceryservir@yahoo.com,3128478,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117728,LUIS EDUARDO BUITRAGO AVILA Y / O UNIDAD CLINICA ODONTOLOGICA VENECIA SAS,NI,900172482,Privada,NO,Bogotá D.C,11001,CL 45A SUR 51D 31,lebavenecia@hotmail.com,7135168,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117732,POLICLINICO DIAGNOSTICO DEL SUR E. U.,NI,900160574,Privada,NO,Bogotá D.C,11001,CLL 27 SUR 19B -05 / 07,polisursalud@gmail.com,3616639,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
1100117738,Previtest S.A IPS,NI,900160308,Privada,NO,Bogotá D.C,11001,Calle 121 No 14B - 55,previtest@gmail.com,7464793 - 3046341981,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
1100117744,OPTICAS SBC LIMITADA,NI,800102107,Privada,NO,Bogotá D.C,11001,AVENIDA CARRERA 45 No 159-50 P-2,auditoriaipsopticassbc@gmail.com,6782077,Fecha corte REPS: Jul 4 2023 1:19PM,1,16,,,,,
